"Oman","0.00","47726.00","1924.00","0.00","0.00","0.00","49650.00","0.00","96.12","3.88","0.00","0.00","0.00"
"Pakistan","164.00","12299.00","29378.00","715.20","16.40","57.60","42630.20","0.38","28.85","68.91","1.68","0.04","0.14"
"Panama","6068.00","0.00","27232.00","1300.80","65.60","0.00","34666.40","17.50","0.00","78.55","3.75","0.19","0.00"
"Paraguay","0.00","0.00","0.00","2400.00","0.00","0.00","2400.00","0.00","0.00","0.00","100.00","0.00","0.00"
"Peru","574.00","22491.00","888.00","1171.20","139.40","0.00","25263.60","2.27","89.03","3.51","4.64","0.55","0.00"
"Philippines","35096.00","11858.00","5476.00","283.20","565.80","0.00","53279.00","65.87","22.26","10.28","0.53","1.06","0.00"
"Poland","68060.00","1666.00","740.00","33.60","455.10","0.00","70954.70","95.92","2.35","1.04","0.05","0.64","0.00"
"Portugal","18860.00","6468.00","1924.00","720.00","1262.80","0.00","29234.80","64.51","22.12","6.58","2.46","4.32","0.00"
"Qatar","0.00","49000.00","0.00","0.00","0.00","0.00","49000.00","0.00","100.00","0.00","0.00","0.00","0.00"
"Romania","22386.00","6076.00","518.00","691.20","524.80","214.80","30410.80","73.61","19.98","1.70","2.27","1.73","0.71"
"Russian Federation","12218.00","24598.00","740.00","396.00","4.10","204.00","38160.10","32.02","64.46","1.94","1.04","0.01","0.53"
"Saudi Arabia","0.00","25088.00","36112.00","0.00","0.00","0.00","61200.00","0.00","40.99","59.01","0.00","0.00","0.00"
"Senegal","0.00","2058.00","61864.00","208.80","73.80","0.00","64204.60","0.00","3.21","96.35","0.33","0.11","0.00"
"Serbia","54366.00","343.00","0.00","789.60","4.10","0.00","55502.70","97.95","0.62","0.00","1.42","0.01","0.00"
"Singapore","902.00","46697.00","518.00","0.00","69.70","0.00","48186.70","1.87","96.91","1.07","0.00","0.14","0.00"
"Slovak Republic","10168.00","2940.00","814.00","372.00","303.40","685.20","15282.60","66.53","19.24","5.33","2.43","1.99","4.48"
"Slovenia","17958.00","1078.00","148.00","852.00","123.00","445.20","20604.20","87.16","5.23","0.72","4.14","0.60","2.16"
"South Africa","76260.00","0.00","74.00","9.60","41.00","66.00","76450.60","99.75","0.00","0.10","0.01","0.05","0.09"
"South Sudan","0.00","0.00","73704.00","0.00","16.40","0.00","73720.40","0.00","0.00","99.98","0.00","0.02","0.00"
"Spain","13530.00","8428.00","3774.00","340.80","1061.90","249.60","27384.30","49.41","30.78","13.78","1.24","3.88","0.91"
"Sri Lanka","21074.00","0.00","25974.00","876.00","110.70","0.00","48034.70","43.87","0.00","54.07","1.82","0.23","0.00"
"Sudan","0.00","0.00","16058.00","1879.20","0.00","0.00","17937.20","0.00","0.00","89.52","10.48","0.00","0.00"
"Suriname","0.00","0.00","27898.00","1495.20","0.00","0.00","29393.20","0.00","0.00","94.91","5.09","0.00","0.00"
"Sweden","492.00","147.00","148.00","996.00","586.30","507.60","2876.90","17.10","5.11","5.14","34.62","20.38","17.64"
"Switzerland","0.00","343.00","74.00","1303.20","155.80","471.60","2347.60","0.00","14.61","3.15","55.51","6.64","20.09"
"Syrian Arab Republic","0.00","31556.00","16132.00","331.20","0.00","0.00","48019.20","0.00","65.72","33.59","0.69","0.00","0.00"
"Tajikistan","0.00","1421.00","0.00","2330.40","0.00","0.00","3751.40","0.00","37.88","0.00","62.12","0.00","0.00"
"Tanzania","0.00","20678.00","11470.00","998.40","24.60","0.00","33171.00","0.00","62.34","34.58","3.01","0.07","0.00"
"Thailand","17712.00","33467.00","740.00","76.80","241.90","0.00","52237.70","33.91","64.07","1.42","0.15","0.46","0.00"
"Togo","0.00","0.00","8880.00","2028.00","143.50","0.00","11051.50","0.00","0.00","80.35","18.35","1.30","0.00"
